,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
180,08.08.2017,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
181,09.08.2017,,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,
182,10.08.2017,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,
183,11.08.2017,,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0
184,12.08.2017,,,,,,,,,,,,,,,,,,,,,,,
185,14.08.2017,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0
186,15.08.2017,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,
187,16.08.2017,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0
188,17.08.2017,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,1.0
189,18.08.2017,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0
190,19.08.2017,,,,,,,,,,,,,,,,,,,,,,,
191,21.08.2017,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,
192,22.08.2017,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
193,23.08.2017,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,
194,24.08.2017,,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,
195,25.08.2017,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0
196,26.08.2017,,,,,,,,,,,,,,,,,,,,,,,
197,28.08.2017,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,
198,29.08.2017,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,
199,30.08.2017,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,
200,31.08.2017,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,1.0
201,01.09.2017,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,
